festival_code,festival_name,sido,sigungu,festival_type,first_year,venue
F0485,제33회 태백산 눈축제,강원,태백시,자연생태,1994,태백산 국립공원 당골광장
F0486,"제11회 한강,낙동강발원지 축제",강원,태백시,자연생태,2016,"황지연못, 검룡소 일원"
F0487,태백 천상의 산나물 축제,강원,태백시,지역특산물,2018,장성 탄탄마당
F0488,제3회 탄광문화고기축제,강원,태백시,지역특산물,2024,철암 쇠바우골 탄광문화 장터
F0489,2026 영랑호 벚꽃축제,강원,속초시,자연생태,2024,영랑호 잔디광 및 수변 일원
F0490,2026년 설악무산문화축전,강원,속초시,전통역사,2024,엑스포 잔디광장 일원
F0491,2026 실향민 문화축제,강원,속초시,문화예술,2016,엑스포 잔디광장 일원
F0492,2026 속초썸머페스티벌,강원,속초시,문화예술,2017,속초해수욕장 일원
F0493,제61회 설악문화제,강원,속초시,문화예술,1966,엑스포 잔디광장 일원
F0494,2026 삼척정월대보름제,강원,삼척시,전통역사,1973,"엑스포광장 및 시내 척주로, 삼척해수욕장 일원"
F0495,제22회맹방유채꽃축제,강원,삼척시,자연생태,2002,근덕면 상맹방리 215-1번지 일원
F0496,제13회 삼척 하장 두타산 산나물축제,강원,삼척시,지역특산물,2010,하장면 번천리 백두대간 청정임산물 복합체험센터
F0497,2026년 제8회 삼척 장미축제,강원,삼척시,자연생태,2018,삼척 장미공원
F0498,2026년 제7회 삼척 비치 썸 페스티벌,강원,삼척시,문화예술,2016,삼척해수욕장
F0499,제3회 삼척해(海)랑영화제,강원,삼척시,문화예술,2024,"삼척해변, 이사부독도기념관 등 삼척 일원"
F0500,2026 삼척동해왕이사부축제,강원,삼척시,전통역사,2008,삼척장미공원 일원
F0501,2026 강원예술인 한마당,강원,삼척시,문화예술,2023,삼척문화예술회관 및 엑스포 광장 등
F0502,2026 국가유산 죽서루 야행,강원,삼척시,전통역사,2024,삼척 죽서루 일원
F0503,제17회 삼척평생학습박람회 및 제7최 책축제,강원,삼척시,문화예술,2007,삼척시문화예술회관 및 삼척시청소년수련관 일원
F0504,2026년 제3회 너와포차거리,강원,삼척시,지역특산물,2024,미정
F0505,제14회 홍천강 꽁꽁축제,강원,홍천군,전통역사,2013,홍천강변 일원
F0506,제8회 홍천산나물출제,강원,홍천군,지역특산물,2019,토리숲 일원
F0507,제30회 홍천찰옥수수축제,강원,홍천군,지역특산물,1996,홍천종합운동장 일원
F0508,제10회 홍천강 별빛음악 맥주축제,강원,홍천군,지역특산물,2017,토리숲 일원
F0509,제24회 홍천 인삼한우 명품축제,강원,홍천군,지역특산물,2003,토리숲 일원
F0510,제11회 홍천사과축제,강원,홍천군,지역특산물,2016,토리숲 일원
F0511,제22회 횡성한우축제,강원,횡성군,지역특산물,2004,횡성읍 일원
F0512,제15회 둔내고랭지토마토축제,강원,횡성군,지역특산물,2012,둔내면 일원
F0513,제13회 횡성더덕축제,강원,횡성군,지역특산물,2012,청일면 일원
F0514,제18회 안흥찐빵축제,강원,횡성군,지역특산물,1999,안흥찐빵모락모락마을 일원
F0515,제7회 횡성호수길축제,강원,횡성군,주민화합,2019,횡성호수길 일원
F0516,제4회 소(牛)맥 프리미엄 페스티벌,강원,횡성군,주민화합,2023,공근면 일원
F0517,제5회 태종노구문화제,강원,횡성군,전통역사,2018,강림면 일원
F0518,제38회 횡성회다지소리 민속문화제,강원,횡성군,전통역사,1987,우천면 정금민속관 일원
F0519,제59회 단종문화제,강원,영월군,전통역사,1967,영월군 관내 일원
F0520,동강국제사진제,강원,영월군,문화예술,2002,"동강사진박물관, 예술창작스튜디오"
F0521,제28회 동강뗏목축제,강원,영월군,문화예술,1997,동강둔치 등
F0522,김삿갓문화제,강원,영월군,전통역사,1998,김삿갓 묘역 등
F0523,계촌클래식축제,강원,평창군,문화예술,2015,평창군 방림면 계촌리 일원
F0524,평창더위사냥축제,강원,평창군,자연생태,2013,평창군 대화면 해뜰마을길 일원
F0525,평창효석문화제,강원,평창군,문화예술,1999,평창군 봉평면 효석문화마을 일원
F0526,평창농악축제,강원,평창군,전통역사,2019,평창군 용평면 장평리 일원
F0527,평창백일홍축제,강원,평창군,자연생태,2015,평창군 평창읍 제방길 일원
F0528,평창송어축제,강원,평창군,지역특산물,2007,평창군 진부면 오대천 일원
F0529,대관령눈꽃축제,강원,평창군,자연생태,1993,평창군 대관령면 송천 일원
F0530,제1회 정선메밀전병축제,강원,정선군,지역특산물,2026,정선읍 정선5일장 일원
F0531,제20회 정선동강할미꽃 축제,강원,정선군,자연생태,2007,정선읍 동강로 2908
F0532,제34회 화암약수제,강원,정선군,전통역사,1993,화암약수 및 그림바위 퍼즐 주차장 일원
F0533,제15회 로컬푸드축제,강원,정선군,지역특산물,2013,북평면 나전역광장 일원
F0534,제33회 두위봉 철쭉제 산맥 페스티벌,강원,정선군,자연생태,1991,"단곡계곡, 두위봉 일원"
F0535,제30회 사북읍석탄문화제,강원,정선군,주민화합,1995,사북읍 650거리 및 탄광문화촌 광장 일원
F0536,제3회 나전역 야시장 야밤바 행사,강원,정선군,지역특산물,2024,북평면 옛시장골목 일원
F0537,제21회 정선 함백산 야생화축제,강원,정선군,자연생태,2007,"만항재 산상의화원, 하늘숲 정원, 야생화공원, 마을호텔18번가, 고한시장 일원"
F0538,제10회 강변가요제,강원,정선군,주민화합,2014,조양강 둔치
F0539,제34회 아우라지 뗏목축제,강원,정선군,전통역사,1992,여량면 아우라지 광장
F0540,제51회 정선아리랑제,강원,정선군,전통역사,1976,정선읍 공설운동장
F0541,제31회 민둥산은빛억새축제,강원,정선군,자연생태,1995,민둥산 및 민둥산운동장 일원
F0542,정선 사과축제,강원,정선군,지역특산물,2017,임계면 사통팔달시장 일원
F0543,2026년 용화천 겨울 놀이터,강원,철원군,자연생태,2018,용화천 명성어린이공원 일원
F0544,2026년 용화천 물놀이장,강원,철원군,자연생태,2018,용화천 명성어린이공원 일원
F0545,DMZ 피스트레인 뮤직페스티벌 2026,강원,철원군,문화예술,2018,철원군 고석정 일원
F0546,철원 화강 다슬기축제,강원,철원군,자연생태,2007,철원 화강 쉬리공원 일원
