위도,경도,주차구획수
34.8056140424,126.4330921,27
34.805989,126.392642,24
34.8051264022,126.4038739741,129
34.79420829,126.3934040976,25
34.8016375936,126.390877586,8
34.7818170471,126.3808222351,46
34.8025778266,126.3688476711,92
34.7849059386,126.386611,243
34.7945116527,126.4087254788,86
34.81596712,126.4234727,59
34.7841599755,126.3852317696,24
34.79275833,126.4025248243,76
34.7882066634,126.3902838338,64
34.804394329,126.3930607741,121
34.7896570661,126.3843244979,33
34.7916340923,126.3827587157,79
34.7939182811,126.3802406751,62
34.8059552447,126.4265656852,52
34.7991111057,126.4324099003,101
34.798078313,126.4302578,104
34.7944401571,126.3859604499,53
34.7934518,126.3876193,96
34.81479569,126.4157858,30
34.78248715,126.3928278,43
34.80775634,126.3886136,15
34.7989616059,126.3783191698,113
34.8039251372,126.3737466,51
34.7929063589,126.3847949762,35
34.80378472,126.4019854,54
34.79289082,126.3822082,45
35.72644627,128.2654084,11
35.72992985,128.2710958,22
35.72992171,128.2677667,32
35.72931121,128.3030765,16
35.7238809,128.4190504,18
35.71068589,128.3078024,32
35.6934625,128.2579917,14
35.67712851,128.2109513,18
35.67798105,128.1969494,29
35.68345868,128.2535469,15
35.66901106,128.1746892,21
35.63593407,128.3826224,20
35.80345149,128.3822185,14
35.82455212,128.4486152,84
35.82489464,128.452596,37
35.8269911,128.4529863,27
35.82519764,128.4467909,10
35.76089989,128.3537784,30
35.74168369,128.384448,22
35.75086618,128.3447635,4
35.75308636,128.3722263,30
35.79122289,128.2059086,10
35.79260002,128.2114261,40
35.72874434,128.2687538,10
35.75664204,128.2306606,10
35.7251709,128.2656857,60
35.73239058,128.2683202,19
35.72133937,128.2528394,57
35.7430529,128.2751752,34
35.73090075,128.266668,7
35.72786926,128.2691815,10
35.72499185,128.2681594,54
35.73037266,128.2703856,18
35.73303645,128.2699591,18
35.72771639,128.2620705,90
35.72568531,128.2661258,104
35.72731692,128.2644802,40
35.73040394,128.2683491,162
35.71965713,128.2715879,42
35.72719599,128.2697926,36
37.74264603,127.081441,50
37.74183835,127.097906,18
37.73766869,127.0780965,22
37.70803493,127.0465574,21
37.75156903,127.0569589,24
37.74287099,127.02714,27
37.75829777,127.0368663,79
37.7563938,127.0711573,60
37.75020266,127.0378433,57
37.75172384,127.0695466,16
37.71845904,127.0469116,18
37.74366809,127.0495897,10
37.73543323,127.0456583,46
37.7059473085,127.0376857686,47
37.71071786,127.0437322,7
37.71211652,127.0435564,12
37.74949655,127.0562146,28
37.72799893,127.0699253,15
37.73015488,127.0701625,18
37.74026176,127.064306,21
37.733919,127.1112958637,11
37.734044,127.110663,12
37.7343963082,127.110798127,8
37.733448,127.084062,4
37.707485,127.045608,18
37.753656,127.067314,17
37.728615,127.083728,20
37.73109354,127.076482,110
37.731347,127.0610852,75
37.730201,127.052641,120
37.75312927,127.0631292,49
37.75061206,127.0433582,20
37.74692812,127.095528,62
37.73180569,127.0490611,36
37.74583195,127.0269067,41
37.718413,127.0469116,8
37.72256584,127.0591013,10
37.71167917,127.0448652,30
37.75517811,127.0681215,38
37.75167304,127.1013076,35
37.74939298,127.0610053,23
37.74923955,127.0505682,21
37.74529867,127.0433614,15
37.7477019,127.0339903,37
37.75433405,127.0456608,38
37.75509068,127.0747786,26
37.75405311,127.0349945,238
37.7532877,127.0368834,86
37.74905559,127.031604,106
37.75148575,127.0391704,58
37.74825754,127.0330011,153
37.75148575,127.0391704,160
37.74350797,127.0570808,41
37.73110049,127.0567229,24
37.73094555,127.0550167,48
37.73416888,127.0391729,200
37.74474435,127.0453294,73
37.74815074,127.04878,54
37.74384331,127.0407508,227
37.75192052,127.1131105,35
37.72901893,127.1054269,42
37.7297544,127.1079737,180
37.74966141,127.0705311,116
37.73643015,127.0475155,101
37.752735,127.0686459,94
37.7386919,127.035717,246
37.73758163,127.0363738,346
37.760799,127.0419928,134
37.70034848,127.0540473,188
37.74148589,127.0539389,241
37.74243045,127.0486631,66
37.7415876,127.0482123,138
37.52408435,126.8330225,48
37.52753859,126.859864,74
37.54834,126.863652,54
37.53897,126.865489,32
37.545483,126.865192,100
37.53504,126.82415,76
37.528116,126.831899,70
37.538968,126.865489,24
37.51907417,126.835606,249
37.514938,126.860059,88
37.516383,126.862569,23
37.515383,126.862641,20
37.516217,126.861336,21
37.515221,126.861494,30
37.517019,126.863847,80
37.516521,126.863346,93
37.522152,126.869272,32
37.532717,126.828598,161
37.516131,126.849601,101
37.521636,126.860547,18
37.533173,126.824559,61
37.534498,126.828575,107
37.524363,126.845025,45
37.533088,126.836284,23
37.530475,126.833012,114
37.529539,126.836015,108
37.536725,126.830828,376
37.532926,126.876896,23
37.536671,126.879208,39
37.535438,126.879351,42
37.533463,126.876594,48
37.548771,126.866172,33
37.542031,126.865111,64
37.545977,126.874609,85
37.531823,126.875401,21
37.529393,126.879105,894
37.521105,126.85074,84
37.530443,126.874295,186
37.530553,126.877866,280
37.518377,126.877689,285
37.517265,126.867026,70
37.51879987,126.869218,11
37.519832,126.869232,24
37.528215,126.871319,28
37.527803,126.875162,24
37.536811,126.881493,17
37.535439,126.877953,38
37.533828,126.876616,21
37.539061,126.8268996,54
37.529915,126.834359,75
37.536449,126.834076,33
37.529866,126.838204,58
37.519317,126.853945,145
37.527819,126.861916,53
37.527965,126.853214,112
37.516263,126.861702,17
37.51662,126.865097,31
37.48330365,126.8760816,55
37.47438522,126.888308,32
37.47253319,126.8904216,27
37.47115076,126.8919782,27
37.46772828,126.8900322,37
37.469155,126.8948279,19
37.46379603,126.8992959,103
37.4766319,126.8955792,130
37.45458796,126.9090376,51
37.45934816,126.9093508,124
37.46074109,126.9109725,69
37.44292641,126.9057099,44
37.4506859,126.8967063,82
37.4778527,126.9027669,22
37.4763283,126.9018966,46
37.4694056,126.9045064,63
37.4794373,126.9063493,50
37.4638287,126.9000339,66
37.46494122,126.8948157,66
37.48571424,126.8796914,160
37.4794157,126.8846349,37
37.48294979,126.8825735,41
37.44250623,126.701506,120
37.57160937,126.7360234,188
35.1154293309,126.7627725168,238
35.1946360344,126.7942529052,430
35.1464008207,126.9168091,301
34.9868670503,126.4760613,56
34.9889842368,126.4779316782,115
34.9877717421,126.4771732693,75
34.57814,126.596093107,57
34.57357,126.59764,33
34.57106,126.60014,15
34.57372981,126.603005,10
34.57524945,126.4296676,38
34.57591759,126.5959275,70
34.57806304,126.5955116,35
34.66779599,126.3299898,53
34.57583249,126.4337586,17
34.57655535,126.4352183693,36
34.5762458724,126.4330732,57
34.56703184,126.6500593,8
34.56650806,126.6475451,80
34.37038956,126.5208425,34
34.49117409,126.5155081,13
34.5725274878,126.5964348467,13
34.57209021,126.5962653,53
34.5711427,126.5975883,90
34.57410446,126.5978202,68
34.57549889,126.5985778,20
34.57235741,126.5998423,18
34.56936504,126.5989937,51
34.5658424846,126.5996511015,35
34.5709622553,126.5998641,24
34.5705426409,126.6002769328,19
34.5714072,126.6075307,44
34.57198456,126.601553,8
34.5741166758,126.6006127,26
34.57240271,126.6025571,73
34.5676303772,126.601020247,37
34.57830697,126.5909272,60
34.57045266,126.6037897,27
34.57130904,126.6058425,66
34.57019047,126.5937448,12
34.57391589,126.6071614,28
34.5713855248,126.6067074265,62
34.59559944,126.3121027,128
34.45925772,126.5541957,42
34.56990491,126.6080662,44
